ID	Waveform	Period	Phase	Nadir	Mean	Std_Dev	MaxLoc	MinLoc	Max	Min	Max_Amp	FC	IQR_FC	Tau	P	BF
Q9DCV4	cosine	24.0	3.0	0.0	156205.14491982924	7916.772031409667	33.0	0.0	170791.445207	141355.936677	29435.5085304	1.20823680436	1.08041322944	0.15960115881392725	0.1372777177333498	3.8437760965337944
Q9DCW4	cosine	24.0	3.0	15.0	1272856.8150914253	29975.651715637963	66.0	63.0	1324933.72908	1224824.58282	100109.14625	1.08173345608	1.03967868128	0.2509652283107651	0.042888118888463896	1.200867328876989
Q9DCZ1	cosine	24.0	0.0	21.0	20041.397088681642	2948.701769833746	69.0	45.0	26127.8554404	14756.8379415	11371.0174989	1.77055921763	1.22987447176	0.10723104044539238	0.2314422767873972	6.480383750047122
Q9DCZ4-2	cosine	24.0	21.0	0.0	139454.2432449413	5041.008324136999	3.0	27.0	151024.091183	131965.195908	19058.8952752	1.14442365007	1.05966584895	0.21815970297510862	0.06764995867882109	1.8941988430069907
Q9DD02	cosine	24.0	21.0	0.0	39164.00918502033	2303.0623084149715	36.0	6.0	43750.3934974	35131.3824247	8619.01107275	1.24533651903	1.06875380934	0.13681201711998336	0.1744777691802858	4.885377537048003
Q9DD18	cosine	24.0	21.0	0.0	43995.13734827199	3612.458900708351	30.0	51.0	51325.2354469	37924.3821622	13400.8532848	1.35335719452	1.15130774142	0.13681201711998336	0.1744777691802858	4.885377537048003
Q9EP52	cosine	24.0	9.0	12.0	43485.22202617509	3371.0629817314884	57.0	42.0	50037.4743029	37625.272784	12412.201519	1.32989000745	1.12658107993	0.18327011693631026	0.10479929422810885	2.934380238387048
Q9EP53-3	cosine	24.0	15.0	18.0	36175.37985465081	2039.0096509564848	9.0	51.0	39603.5573369	32233.3253308	7370.23200609	1.2286525492	1.06566197097	0.3717184280445718	0.005467174495423315	0.1530808858718528
Q9EP69	cosine	24.0	18.0	9.0	424324.84585818043	36960.32843573173	63.0	15.0	503738.055407	353884.025113	149854.030294	1.42345519905	1.09324172751	0.31549066277171667	0.015391993660926931	0.43097582250595406
Q9EP71	cosine	24.0	12.0	9.0	2293325.7364666	86087.12666659801	54.0	3.0	2406431.03377	2115565.79433	290865.239438	1.13748815575	1.05783110565	0.056103097021319465	0.3504585965252969	9.812840702708312
Q9EPC1	cosine	24.0	21.0	0.0	896265.8490349441	42880.378025045204	54.0	3.0	972332.980693	813378.690987	158954.289706	1.19542470373	1.08322356986	0.1589977496259266	0.13818700065494172	3.869236018338368
Q9EPE9	cosine	24.0	18.0	9.0	607790.8784564004	30812.378806125133	3.0	15.0	656753.473177	557658.939521	99094.5336557	1.1776973821	1.09104427371	0.37487714046992215	0.0051377970621272195	0.14385831773956215
Q9EPK2-3	cosine	24.0	3.0	6.0	180036.8708873964	8285.401738546436	18.0	30.0	199053.688318	165401.35172	33652.3365977	1.20345865525	1.07316581223	0.43426361816812764	0.0014746410900555347	0.04128995052155497
Q9EPK5	cosine	24.0	3.0	0.0	44292.37220030583	1493.7527961769863	51.0	0.0	46892.0496256	41217.0682515	5674.98137419	1.13768522641	1.05342771783	0.17444777823847862	0.11618577088949705	3.2532015849059173
Q9EPK6	cosine	24.0	6.0	3.0	278866.9912934987	12121.869977414219	54.0	39.0	305516.032066	252479.753227	53036.2788392	1.2100615125	1.06957751557	0.17444777823847862	0.11618577088949705	3.2532015849059173
Q9EPK7	cosine	24.0	3.0	18.0	395680.1548254367	17187.860975281335	51.0	18.0	427132.205609	368116.611601	59015.5940083	1.16031766062	1.07939948722	0.11462628461404012	0.21630498612695365	6.056539611554702
Q9EPL8	cosine	24.0	3.0	0.0	501556.686430045	10661.119739529873	30.0	48.0	525884.111509	485829.089794	40055.0217145	1.08244673396	1.0256362262	0.26352749478578685	0.03560678181850737	0.9969898909182063
Q9EPL9	cosine	24.0	21.0	0.0	212081.89612694958	7489.409373050876	45.0	48.0	227272.212667	198055.414865	29216.7978015	1.14751829846	1.05499061011	0.24774067964969962	0.04493949144849353	1.258305760557819
Q9EPN1-4	cosine	24.0	15.0	18.0	132505.03866832136	5763.454689177013	36.0	3.0	142607.240444	122341.552302	20265.6881415	1.16564844699	1.08055797581	0.0713399003317865	0.3126353844373726	8.753790764246432
Q9EPQ7	cosine	24.0	12.0	15.0	21037.939888061166	2749.7813536517374	57.0	45.0	24943.427525	15273.9859101	9669.44161493	1.63306602951	1.23292977092	0.3341711120804736	0.011076319946854101	0.31013695851191486
Q9EPU0-2	cosine	24.0	0.0	21.0	1849158.6522477164	40856.105571708285	0.0	39.0	1921736.66787	1772500.83276	149235.835108	1.08419507193	1.03148222529	0.23295019131240413	0.055380662873957556	1.5506585604708116
Q9EPU4	cosine	24.0	12.0	9.0	249050.02745419767	10253.18280616603	24.0	60.0	264631.588973	231606.915906	33024.6730672	1.14258932182	1.07792702705	0.20571135574483804	0.0795206783939611	2.226578995030911
Q9EQ06	cosine	24.0	15.0	9.0	307538.788814775	32479.819918696354	63.0	15.0	368206.722265	255236.77558	112969.946685	1.44260842282	1.20043870063	0.2837085193799876	0.026052042441162368	0.7294571883525462
Q9EQ09	cosine	24.0	18.0	9.0	84152.84623566824	14414.496388133659	69.0	15.0	116702.630426	65848.9597563	50853.6706695	1.77227750989	1.37787124956	0.15217784910165155	0.14874946071331063	4.164984899972698
Q9EQ20	cosine	24.0	12.0	0.0	1730769.9941393652	71881.43277768508	66.0	0.0	1868752.58202	1584933.52748	283819.054536	1.17907315961	1.07003475675	0.14024527464425107	0.16849709470074392	4.717918651620829
Q9EQ80	cosine	24.0	15.0	18.0	170016.50644064366	12715.150855956806	3.0	0.0	217254.891798	155812.771458	61442.1203404	1.39433301754	1.04812490681	0.20651023780253988	0.07871439991892487	2.2040031977298966
R4H4Y7	cosine	24.0	12.0	9.0	351703.3354760727	20888.06229529947	63.0	9.0	385635.197951	308726.893361	76908.30459	1.24911436692	1.08264485251	0.17578970400013433	0.11439938205227845	3.203182697463797
Q9EQC8	cosine	24.0	12.0	15.0	46169.69007481029	3819.8492520559794	12.0	39.0	54260.2973072	39950.8811483	14309.4161588	1.35817523287	1.09855977657	0.14643453225998282	0.15805277010113494	4.425477562831778
Q9EQF6	cosine	24.0	12.0	18.0	153132.1518084107	9782.549750199692	9.0	42.0	173135.379386	137035.111594	36100.267792	1.26343808804	1.12632990979	0.1873723960055366	0.09978909481037329	2.7940946546904524
Q9EQG9-2	cosine	24.0	9.0	18.0	396050.7778063454	10168.083871222378	60.0	18.0	413476.487211	377677.131948	35799.3552624	1.09478825228	1.05128068072	0.2783741142103382	0.0283411053804827	0.7935509506535156
Q9EQH2	cosine	24.0	6.0	3.0	1194712.0285563327	69489.61688156072	57.0	0.0	1288675.73177	1046455.38054	242220.351228	1.23146744308	1.12023259743	0.2264109462244084	0.060569228522496806	1.6959383986299106
Q9EQI8	cosine	24.0	12.0	15.0	65293.203866561234	3316.937918676839	60.0	54.0	72326.3462559	58034.8504912	14291.4957646	1.24625713074	1.06636806563	0.22903862738099875	0.05844034568396187	1.6363296791509323
Q9EQQ2	cosine	24.0	9.0	12.0	17424.166799940445	2210.537076494917	69.0	48.0	21196.2578272	13132.1870806	8064.07074661	1.61406913388	1.23783951558	0.19823094280866213	0.08737598727842949	2.446527643796026
Q9EQQ9	cosine	24.0	3.0	18.0	273134.7505877708	23938.17447564576	3.0	69.0	323015.778488	247185.307956	75830.4705322	1.30677579974	1.2067674393	0.1589977496259266	0.13818700065494172	3.869236018338368
Q9EQS3	cosine	24.0	9.0	18.0	360586.743073006	17672.837915738244	33.0	69.0	397343.712068	326978.007135	70365.7049326	1.2152001156	1.05368600665	0.19671770737530567	0.08903321910476264	2.4929301349333537
Q9EQW7	cosine	24.0	12.0	9.0	40464.401655449794	2967.3829846247063	57.0	9.0	46782.4370033	36614.1812364	10168.2557669	1.27771359139	1.13591875554	0.13838763931925468	0.17171651217030293	4.8080623407684815
Q9ER38	cosine	24.0	9.0	3.0	77320.7684292309	8361.859870865988	57.0	45.0	98825.1120778	67137.434896	31687.6771818	1.47198224405	1.20445518024	0.1413117939947929	0.16666639132744304	4.666658957168405
Q9ER41	cosine	24.0	21.0	0.0	176685.82927550422	5449.839310444804	42.0	0.0	187841.838503	164528.355148	23313.4833546	1.14169887819	1.02933576498	0.29950738883023387	0.02016114215609676	0.5645119803707093
Q9ER72	cosine	24.0	12.0	9.0	659615.6157616362	43133.50022111187	63.0	24.0	748856.696445	598496.964122	150359.732323	1.25122889728	1.1278724684	0.17578970400013433	0.11439938205227845	3.203182697463797
Q9ER73	cosine	24.0	9.0	6.0	67219.69193768989	4233.730086715502	48.0	27.0	75501.8841616	61078.9086703	14422.9754913	1.23613675826	1.09082179244	0.11550130711922306	0.21455262536216446	6.0074735101406045
Q9ERA0	cosine	24.0	3.0	0.0	49454.01207860368	2410.9793056630338	63.0	0.0	53351.7019245	44133.8151941	9217.88673036	1.20886222253	1.067624108	0.15217784910165155	0.14874946071331063	4.164984899972698
Q9ERB0	cosine	24.0	3.0	9.0	325003.4274584564	9116.568327674951	27.0	3.0	340156.289199	296958.860557	43197.4286417	1.14546603715	1.03645921049	0.23056134809676734	0.057233835382467506	1.6025473907090901
Q9ERD7	cosine	24.0	9.0	6.0	192728.59307112652	16654.58080191757	9.0	39.0	242000.709069	169785.084364	72215.6247055	1.42533550563	1.13122972059	0.11550130711922306	0.21455262536216446	6.0074735101406045
Q9ERE7	cosine	24.0	6.0	3.0	616238.8781729866	15394.296210143435	60.0	21.0	634559.892781	572465.746926	62094.1458548	1.10846787985	1.03010532227	0.18929439766303	0.09750285144846599	2.730079840557048
Q9ERG0	cosine	24.0	9.0	18.0	1898166.1219519004	64304.00824780455	54.0	18.0	2042883.66981	1799127.35286	243756.316951	1.13548586017	1.05357526788	0.21156432679985704	0.0737564416596048	2.065180366468934
Q9ERI6	cosine	24.0	21.0	6.0	186946.47920156116	10499.878345542773	69.0	0.0	203502.956551	162912.688663	40590.2678878	1.24915350806	1.10417473683	0.16702446852620292	0.12642548136726045	3.5399134782832924
Q9ERK4	cosine	24.0	15.0	18.0	1389272.285317407	37761.98454328293	36.0	69.0	1470892.48338	1328732.14165	142160.341723	1.10698946557	1.04424517614	0.15394399545280243	0.1459636853800239	4.0869831906406695
Q9ERR1-2	cosine	24.0	21.0	9.0	81214.13579063806	3444.3007372513566	51.0	9.0	87361.8092753	74660.6788173	12701.130458	1.17011806829	1.06086993143	0.2932207336348896	0.022353887279688553	0.6259088438312794
Q9ERS2	cosine	24.0	18.0	15.0	261901.38688006063	22088.094199750543	3.0	33.0	296004.710111	220390.444243	75614.265868	1.3430923066	1.1495172859	0.17647238503126134	0.1134981303078686	3.1779476486203206
Q9ERS4	cosine	24.0	0.0	9.0	27683.11746673225	1239.2692564259937	0.0	54.0	29569.1427933	24283.5794915	5285.56330185	1.21765997487	1.06118683324	0.22555494714375637	0.0612756889104502	1.7157192894926057
Q9ERS5	cosine	24.0	6.0	3.0	62053.56365587333	3211.8781471160632	21.0	24.0	68812.5165052	57696.60101	11115.9154952	1.19266153119	1.09034956156	0.1299079199648245	0.18690708075242085	5.233398261067784
Q9ERU9	cosine	24.0	12.0	18.0	2736618.8287975825	49080.0640859986	24.0	66.0	2842977.58142	2606975.99405	236001.587374	1.09052695073	1.02089349333	0.1873723960055366	0.09978909481037329	2.7940946546904524
Q9ERV1	cosine	24.0	6.0	18.0	46574.70151697756	2322.7261314291936	27.0	3.0	53706.8246766	41246.020175	12460.8045017	1.30210925682	1.05691307498	0.2741417717592054	0.030274215841132077	0.8476780435516982
Q9ERY9	cosine	24.0	18.0	15.0	70734.01283085653	5103.040218703338	57.0	27.0	81388.2319377	62336.7403357	19051.4916019	1.30562219807	1.08659914537	0.11639667948870429	0.21276808318223123	5.957506329102475
Q9ES00	cosine	24.0	9.0	6.0	369994.97189389094	9644.296734411817	63.0	0.0	396648.655872	354444.138081	42204.5177914	1.11907241017	1.03316474683	0.19746997668770394	0.08820646422125328	2.469780998195092
Q9ES34	cosine	24.0	18.0	3.0	29392.9590133236	1866.6101448299098	21.0	33.0	32561.5660434	25002.6830146	7558.88302881	1.30232287568	1.07907290328	0.40304080719130236	0.0028969453261565256	0.08111446913238271
Q9ES70	cosine	24.0	18.0	0.0	74361.18094430516	3119.3604305449735	3.0	51.0	81959.0194204	68698.9542073	13260.0652131	1.1930169879	1.05255296345	0.2066772468441595	0.07854663026645384	2.1993056474607076
Q9ES74	cosine	24.0	12.0	3.0	548033.2404679368	19323.167172797093	60.0	0.0	581216.739996	508057.879988	73158.860008	1.14399709736	1.04718393423	0.4104360513599501	0.0024782190637700975	0.06939013378556273
Q9ES93	cosine	24.0	6.0	21.0	268116.9874910866	31596.74000922004	6.0	45.0	316720.020967	220186.368014	96533.652953	1.43841793579	1.2442286909	0.15960115881392725	0.1372777177333498	3.8437760965337944
Q9ES97-2	cosine	24.0	15.0	3.0	56174.745233674126	3350.6516032227983	63.0	51.0	64197.8451561	50621.420741	13576.4244151	1.26819524653	1.06329873294	0.26572788879963366	0.03444220575113408	0.9643817610317543
Q9ESJ4	cosine	24.0	3.0	0.0	46573.720134457784	3533.8367517208726	60.0	0.0	53744.3036642	41726.6825781	12017.6210861	1.28800806447	1.11235699167	0.16702446852620292	0.12642548136726045	3.5399134782832924
Q9ESK9	cosine	24.0	21.0	9.0	195806.16888439082	10318.10230221392	51.0	0.0	221596.255151	173628.947066	47967.3080842	1.27626331263	1.06825391085	0.15960115881392725	0.1372777177333498	3.8437760965337944
Q9ESL4	cosine	24.0	3.0	6.0	155607.63033311375	11401.983407516498	24.0	54.0	176260.950317	136922.312618	39338.6376983	1.28730626109	1.14827374742	0.13733122967710018	0.17356475677209343	4.859813189618616
Q9ESP1	cosine	24.0	9.0	15.0	112994.09128584871	4739.82313886146	12.0	54.0	123924.731094	106692.047626	17232.6834676	1.16151797487	1.07330812027	0.17171831436157145	0.11988014354567555	3.3566440192789155
