ID	Waveform	Period	Phase	Nadir	Mean	Std_Dev	MaxLoc	MinLoc	Max	Min	Max_Amp	FC	IQR_FC	Tau	P	BF
F6ZQA3	cosine	24.0	6.0	3.0	26073.75883526895	1884.4773499997707	30.0	45.0	28991.2092837	22559.6077408	6431.60154286	1.2850936779	1.12541157049	0.24125756564895978	0.04930266217726652	1.3804745409634624
F7A1B4	cosine	24.0	18.0	9.0	132078.48639647046	5601.234024998208	27.0	9.0	146691.605989	124466.528655	22225.0773335	1.17856268327	1.06783762037	0.41199368903130057	0.0023973316316347427	0.06712528568577279
S4R1E5	cosine	24.0	0.0	21.0	295820.3904468857	21603.26304999846	0.0	69.0	333099.489709	258423.952887	74675.5368222	1.28896522938	1.1184801693	0.3142978771675294	0.015710968084713377	0.43990710637197455
F7AC58	cosine	24.0	18.0	15.0	268578.59550100245	24963.993573033025	51.0	12.0	312537.405407	227768.956184	84768.4492232	1.37216858102	1.16256890084	0.31915218569483433	0.014447331991700058	0.4045252957676016
F7BE84	cosine	24.0	3.0	21.0	53635.47674425782	3888.3645228919913	57.0	30.0	64373.9834011	48577.0346147	15796.9487864	1.32519376515	1.05686370616	0.2731092190440679	0.030762062328506853	0.8613377451981918
F7BGR7	cosine	24.0	0.0	21.0	182773.66546117247	8896.909116182418	51.0	45.0	203709.024775	171372.168196	32336.8565792	1.18869374718	1.05091282189	0.3734598305167114	0.005283338852544909	0.14793348787125746
F7BJB9	cosine	24.0	9.0	12.0	35902.727535127495	1884.388928053017	57.0	21.0	39979.5163947	32366.4959529	7613.02044178	1.23521299472	1.05407990955	0.2954763109789492	0.021545066942792488	0.6032618743981897
Q8R5C0	cosine	24.0	0.0	6.0	324043.3009715581	19419.075999779645	66.0	6.0	353394.214847	285642.25435	67751.9604979	1.23719166008	1.08316832594	0.47599762187719713	0.0005596456464116427	0.015670078099525996
F7CVJ5	cosine	24.0	6.0	3.0	188303.20325528854	16149.291176318078	60.0	0.0	219027.144477	156378.687472	62648.4570053	1.40062017413	1.13309756089	0.2709508044980625	0.03180287707901677	0.8904805582124696
F7D1I5	cosine	24.0	18.0	15.0	32315.283270552452	4032.721423631671	51.0	9.0	44825.5747941	24610.8553889	20214.7194052	1.82137410853	1.13537993344	0.26658594334509694	0.03399663812377356	0.9519058674656595
F7DBB3	cosine	24.0	15.0	0.0	4319461.752794509	379480.8846345054	57.0	0.0	4837145.08649	3579695.61527	1257449.47122	1.35127273555	1.18040840118	0.19597397046916537	0.08985625322931617	2.515975090420853
F8VPK0	cosine	24.0	3.0	6.0	494819.4769722631	11014.297052654481	27.0	6.0	515189.423608	468641.316658	46548.1069501	1.09932565759	1.02468383996	0.1299079199648245	0.18690708075242085	5.233398261067784
F8VPK5	cosine	24.0	0.0	21.0	2112419.1649893164	28504.35866970075	12.0	9.0	2189688.40828	2057738.30055	131950.107733	1.06412385273	1.01838038812	0.09244055210809687	0.2634159933036787	7.375647812503004
F8VPL2	cosine	24.0	3.0	6.0	114801.10778315575	4909.178994945752	3.0	57.0	128159.733638	106105.502916	22054.2307225	1.20785190321	1.05702430456	0.3526072113330951	0.00789022129915346	0.22092619637629687
F8VPN4	cosine	24.0	0.0	3.0	558632.2477624599	11138.625606856656	24.0	69.0	581546.155436	538440.035707	43106.1197288	1.08005741934	1.02950354565	0.17444777823847862	0.11618577088949705	3.2532015849059173
F8VPP8	cosine	24.0	3.0	12.0	200384.63656846064	7093.113538873583	57.0	9.0	210385.118228	180660.565714	29724.5525138	1.16453259955	1.04437642618	0.33648360967347263	0.010623344634627566	0.29745364976957184
F8VPR1	cosine	24.0	0.0	3.0	22784.519660254085	2594.4375740487844	45.0	69.0	27569.4708201	18305.5599374	9263.91088276	1.50607088308	1.23226120314	0.1299079199648245	0.18690708075242085	5.233398261067784
F8VPR5	cosine	24.0	3.0	6.0	134037.25937215096	7247.360788805969	0.0	48.0	147280.047957	123707.068953	23572.9790043	1.19055482604	1.10897579333	0.14475453938937588	0.160844803171809	4.503654488810652
F8VPU2	cosine	24.0	18.0	15.0	1081462.7204567606	42541.9136276865	45.0	6.0	1148177.77695	1008267.01456	139910.762392	1.13876360168	1.06306318749	0.6195307134076196	1.111062188991752e-05	0.0003110974129176906
F8VPV0	cosine	24.0	15.0	18.0	129499.22971460717	4007.257017753303	63.0	9.0	138196.904738	121697.733594	16499.1711439	1.13557500749	1.04514047619	0.20651023780253988	0.07871439991892487	2.2040031977298966
F8VPX1	cosine	24.0	12.0	18.0	839400.4429909006	26564.992667636914	0.0	66.0	889323.260284	800191.783291	89131.4769929	1.11138764338	1.04942173997	0.1873723960055366	0.09978909481037329	2.7940946546904524
F8VPZ3	cosine	24.0	3.0	12.0	12382.70813231783	1940.4955537057372	51.0	39.0	17049.7110292	8753.94449513	8295.76653408	1.94766039911	1.20167402747	0.2699264121556429	0.03230693818080994	0.9045942690626783
F8VQ05	cosine	24.0	3.0	12.0	76989.92436885543	4130.536944146482	3.0	63.0	88796.883241	67232.7554769	21564.1277642	1.32073842	1.07335911019	0.40304080719130236	0.0028969453261565256	0.08111446913238271
F8VQ06	cosine	24.0	18.0	15.0	482080.68544203276	28026.44723095255	66.0	15.0	523874.625158	425833.736896	98040.8882625	1.23023278751	1.09322125043	0.326661648887654	0.01266506290239042	0.3546217612669318
F8VQ28	cosine	24.0	3.0	21.0	609382.7481729194	20116.15057938473	15.0	63.0	654533.763824	564991.052265	89542.7115585	1.15848518521	1.04834846242	0.3616851819772791	0.0066412775630506635	0.18595577176541858
F8VQ52	cosine	24.0	3.0	6.0	65935.7065308264	4485.458515610566	21.0	30.0	76382.0024504	58014.1549532	18367.8474971	1.31660975691	1.08228954483	0.5159200250031601	0.0002062175984669419	0.0057740927570743734
F8VQ54	cosine	24.0	0.0	21.0	14197.600904004546	1187.8585789352474	48.0	69.0	16350.8037142	11160.1853135	5190.61840077	1.46510145262	1.09295798251	0.2551359238183474	0.04034778682105685	1.129738030989592
F8VQ93	cosine	24.0	3.0	6.0	32127.72578781661	2109.224827963002	0.0	9.0	36059.9153624	28015.5163409	8044.39902151	1.28714084451	1.0994309289	0.3674538307576464	0.00594159154192835	0.16636456317399378
F8VQ95	cosine	24.0	15.0	18.0	425328.09827361355	11811.853888243133	39.0	0.0	450973.750775	400337.9042	50635.846575	1.12648276879	1.03650730696	0.43930359677994846	0.0013171214740370129	0.036879401273036364
F8VQB6	cosine	24.0	0.0	21.0	59668.714565652954	2892.980329070635	36.0	9.0	63925.3955369	54292.3874752	9633.00806168	1.17742833774	1.07334693835	0.23295019131240413	0.055380662873957556	1.5506585604708116
F8VQC1	cosine	24.0	0.0	6.0	1044145.4359035367	24696.750507264456	0.0	54.0	1091692.77656	978802.954253	112889.822309	1.11533457456	1.02912753368	0.4313728448262099	0.001572567137884926	0.04403187986077793
F8VQC7	cosine	24.0	0.0	15.0	2056950.159180253	95727.72465733337	18.0	39.0	2245214.55066	1866734.74365	378479.807017	1.20274964523	1.07174877606	0.4769932488777799	0.0005463493182082269	0.015297780909830354
F8VQC9	cosine	24.0	18.0	15.0	27650.153280519473	1177.0941501461305	18.0	15.0	29446.9681937	25352.2599068	4094.70828688	1.16151255556	1.06672109091	0.5894928606363411	2.722253856624291e-05	0.0007622310798548015
F8VQD7	cosine	24.0	15.0	12.0	236882.0147479682	21732.429941915867	69.0	15.0	279868.99038	202471.111389	77397.8789915	1.38226628214	1.1446016522	0.20651023780253988	0.07871439991892487	2.2040031977298966
F8VQF9	cosine	24.0	3.0	6.0	71108.37492753424	2825.972877026182	54.0	30.0	77400.2991671	65105.8040783	12294.4950888	1.18883869515	1.04488441388	0.2857974239226139	0.02519881865604328	0.7055669223692118
F8VQH0	cosine	24.0	18.0	6.0	54365.96391185841	2576.4377884151854	57.0	6.0	58993.7851451	47865.9184875	11127.8666576	1.2324799567	1.06108066876	0.32600643128121726	0.012812606678637387	0.3587529870018468
F8VQJ3	cosine	24.0	6.0	3.0	947357.5945774307	30477.918076097892	39.0	0.0	1001091.28001	850429.824722	150661.45529	1.17715918576	1.04285921472	0.37487714046992215	0.0051377970621272195	0.14385831773956215
F8VQK5	cosine	24.0	21.0	0.0	44762.88356617902	4584.280687745878	27.0	66.0	55992.6610647	38923.9955136	17068.665551	1.43851267902	1.13551572739	0.15160250545727888	0.14966458474778954	4.190608372938107
F8VQN6	cosine	24.0	18.0	0.0	350208.2235912578	10966.752183878953	18.0	24.0	377209.824822	333481.303045	43728.5217767	1.1311273567	1.05300953326	0.14024527464425107	0.16849709470074392	4.717918651620829
F8WGB3	cosine	24.0	21.0	6.0	51288.7297015857	3544.7218041586516	18.0	24.0	57833.7650433	44481.6227484	13352.1422949	1.30017210412	1.1008509446	0.2709508044980625	0.03180287707901677	0.8904805582124696
F8WGT1	cosine	24.0	15.0	3.0	134284.6812946964	9790.40682961974	51.0	0.0	153379.366376	115682.306461	37697.0599159	1.32586711892	1.10179576391	0.14024527464425107	0.16849709470074392	4.717918651620829
F8WHM5	cosine	24.0	18.0	15.0	2158472.15117343	145673.66342636538	48.0	6.0	2363222.09572	1864667.23342	498554.862303	1.26736934793	1.11271986274	0.4993793023225055	0.00031453798773245034	0.00880706365650861
F8WHN7	cosine	24.0	3.0	6.0	17565.042721953407	2799.265241548651	3.0	54.0	21693.0943508	12472.5682986	9220.52605224	1.73926442666	1.33420825794	0.12248461025254881	0.20086613625359467	5.624251815100651
F8WHT3	cosine	24.0	15.0	12.0	118030.33833470217	4837.088882207553	18.0	51.0	130577.213602	110897.228765	19679.9848372	1.17746146641	1.05393500368	0.19900077460972024	0.08654178804169727	2.4231700651675236
F8WHW6	cosine	24.0	15.0	12.0	73202.8560049582	4735.878189762819	42.0	0.0	86701.3305764	64765.5417479	21935.7888285	1.33869536541	1.0615490086	0.3341711120804736	0.011076319946854101	0.31013695851191486
F8WHY8	cosine	24.0	0.0	15.0	192732.18473486614	12171.71291114986	3.0	39.0	220685.737385	170245.293526	50440.443859	1.29628098853	1.08758670036	0.3142978771675294	0.015710968084713377	0.43990710637197455
